"","iso_o","iso_d","dist"
"136","Alaska","Minnesota",3893.96451861035
"137","Alaska","Mississippi",5222.05735333962
"138","Alaska","Missouri",4552.85295740753
"139","Alaska","Montana",2806.51866051444
"140","Alaska","Nebraska",4034.92165652948
"141","Alaska","Nevada",3453.10138155558
"142","Alaska","NewHampshire",5242.61542673726
"143","Alaska","NewJersey",5330.12561791854
"144","Alaska","NewMexico",4173.39032152866
"145","Alaska","NewYork",5221.075407881
"146","Alaska","NLD",34223.907984157
"147","Alaska","NorthCarolina",5483.34469223082
"148","Alaska","NorthDakota",3402.18121491495
"149","Alaska","Ohio",4879.41222595168
"150","Alaska","Oklahoma",4566.97707736177
"151","Alaska","Oregon",2467.44955170069
"152","Alaska","Pennsylvania",5185.66507507449
"153","Alaska","POL",47161.2386971903
"154","Alaska","PRT",21251.8790589888
"155","Alaska","RhodeIsland",5367.16907702356
"156","Alaska","ROU",59234.2803091852
"157","Alaska","RoW",39383.6445337846
"158","Alaska","RUS",17943.2080085242
"159","Alaska","SouthCarolina",5547.40868733067
"160","Alaska","SouthDakota",3701.13631333488
"161","Alaska","SVK",64708.7355302038
"162","Alaska","SVN",42441.6009003914
"163","Alaska","SWE",28436.0543011872
"164","Alaska","Tennessee",5100.33129349847
"165","Alaska","Texas",4969.09372169661
"166","Alaska","TUR",18327.6437821816
"167","Alaska","TWN",13709.7188336926
"168","Alaska","Utah",3362.60657682135
"169","Alaska","Vermont",5098.96727455017
"170","Alaska","Virginia",5380.15872667521
"171","Alaska","Washington",2261.9664616793
"172","Alaska","WestVirginia",5139.7816631206
"173","Alaska","Wisconsin",4271.23470409217
"174","Alaska","Wyoming",3384.44567770277
"175","Arizona","Alabama",2370.81370724785
"176","Arizona","Alaska",4036.16275738831
"177","Arizona","Arizona",283.037573475491
"178","Arizona","Arkansas",1807.23999941324
"179","Arizona","AUS",18793.4882862559
"180","Arizona","AUT",40783.57280993
"181","Arizona","BEL",21836.9262247758
"182","Arizona","BGR",41396.6590606855
